Designator,Mid X,Mid Y,Rotation,Layer
R1,64.25,-90.5,0.0,top
R2,72.92,-23.5,90.0,top
R3,73.0,-26.25,90.0,top
R4,73.08,-33.75,90.0,top
R5,73.08,-36.5,90.0,top
U1,63.5,-51.705,0.0,top
U10,110.495,-66.05,90.0,top
U11,84.415,-77.3,270.0,top
U12,84.665,-59.93,270.0,top
U13,109.86,-49.54,90.0,top
U14,100.75,-25.75,0.0,top
U15,100.713,-33.475,0.0,top
U16,112.415,-83.175,270.0,top
U17,106.695,-116.84,270.0,top
U18,73.665,-109.865,90.0,top
U2,129.225,-34.8,270.0,bottom
U3,113.035,-99.05,270.0,top
U4,155.75,-94.26,0.0,top
U5,137.15,-84.45,0.0,top
U6,137.2,-55.25,0.0,bottom
U7,155.18,-45.64,0.0,top
U8,130.81,-116.84,270.0,top
U9,80.645,-94.615,90.0,top
